,GitHub Username,hw0
124,TehkCode,0.0
125,TejasiR,0.0
126,Tequila0322,0.0
127,TheDroppedCroissant,0.0
128,TheGoanSalkar,0.0
129,Tina925,0.0
130,Torin1914,0.0
131,VanshK123,0.0
132,Vnednek,0.0
133,Vurs20,0.0
134,WDobert,0.0
135,WillStonebridge,0.0
136,XingpeiZhang,0.0
137,YJWU-PURDUE,100.0
138,YunmeiHuanghi,0.0
139,Z1haoYe,0.0
140,ZachBeacon,0.0
141,aakashsiv,0.0
142,aaradhyajajoo,0.0
143,abbyhaluskaa,0.0
144,acastellani1,0.0
145,ach1ntya,0.0
146,acrobbin,0.0
147,adrcal5,0.0
148,adrianpersaud,0.0
149,aedenbur,0.0
150,afinnegan001,0.0
151,aforester841,0.0
152,aikyachirra,0.0
153,akhilesh2604,0.0
154,akrutche,0.0
155,alecparo,0.0
156,aleeau,0.0
157,alexc0888,0.0
158,alexksiu,0.0
159,aliadnaan,0.0
160,altayatik,0.0
161,ananyaagas,0.0
162,anderslt9,0.0
163,anishsudini,0.0
164,ankitrustagi3,0.0
165,ansonl1,0.0
166,arorasoham9,0.0
167,aroshy,0.0
168,arpitarattan,0.0
169,asavg,0.0
170,asimmes,0.0
171,b4yuan,0.0
172,bbondi,0.0
173,benjamin-owen,100.0
174,bhatnag8,0.0
175,bhatt30,0.0
176,bjmccoy60,0.0
177,brewe116,0.0
178,bvanzant,0.0
179,carolinecgilbert,0.0
180,carrtj,0.0
181,cdetwei,0.0
182,cgcolquitt,0.0
183,chandleg,0.0
184,chang635,0.0
185,chefapp,0.0
186,cheng452,0.0
187,chlouly,0.0
188,chong50,0.0
189,christine102,0.0
190,clgraves,0.0
191,cmarines420,0.0
192,codery12321,0.0
193,codery12321-1,100.0
194,cole186,0.0
195,collinsell,0.0
196,connorjbarry,0.0
197,connorjt222,0.0
198,connorlee802,0.0
199,cswitze,0.0
200,cthode0615,0.0
201,danieldoh,0.0
202,dannygemignani,0.0
203,dkholode,0.0
204,dlender,0.0
205,dlgilligan,0.0
206,dokugaron,0.0
207,doyle109,0.0
208,du233,0.0
209,dulaninw,0.0
210,dzepeda20,0.0
211,ea-shaw,100.0
212,earroyof,0.0
213,eavey,0.0
214,ecpeders,0.0
215,egodley,0.0
216,ekzhang546,0.0
217,elkins15,0.0
218,ethanlu12,0.0
219,faithnfury,0.0
220,fhoham,0.0
221,foley27,0.0
222,fqutob,0.0
223,frolloaaron,0.0
224,gabefoulk,0.0
225,gc1911060,0.0
226,giangnguyen1899,0.0
227,gjgill,0.0
228,glogas,0.0
229,gmwhit,0.0
230,gr-daniel,100.0
231,gracemarieyeh,0.0
232,gu243,0.0
233,gvinod07,0.0
234,hannaertel,0.0
235,haoyuding,0.0
236,harri822,0.0
237,hasansultan92,0.0
238,hello2737,0.0
239,hew1g1g,0.0
240,hgjovik,0.0
241,hilleryc,0.0
242,holman10,0.0
243,hunte164,0.0
244,hurst48,0.0
245,iamverytan,0.0
246,iangruver,0.0
247,ibenschi,0.0
248,icrawfor,0.0
249,igelmanPURDUE,0.0
250,igronhol,0.0
251,interpreter-Z,100.0
252,ishaanbajpai24,0.0
253,ishaanrath2002,0.0
254,ishantrip,0.0
255,jackson-weber,100.0
256,jacobalmendralo,0.0
257,jacobscarroll,0.0
258,jakobslason,0.0
259,jamesdoyle25,0.0
260,jarmstrong413,0.0
261,jennagillette,0.0
262,jennychen1030,0.0
263,jeon52,0.0
264,jfaberlle,0.0
265,jffshao,0.0
266,jiang786,0.0
267,jinwk00,0.0
268,jlunamcc,0.0
269,jogarces127,0.0
270,john117morton,0.0
271,john2548,0.0
272,john2766,0.0
273,jonathandow,0.0
274,josephsmcs,0.0
275,joshjhom,0.0
276,joyxqwang,0.0
277,jpcollins1,0.0
278,jstavrakos,0.0
279,jtrowe08,0.0
280,juanpardo3,0.0
281,jwai01,0.0
282,kap0503,0.0
283,kaushikcodes,0.0
284,kaylee-smith,100.0
285,kchristiana24,0.0
286,kprather3,0.0
287,kreimera02,0.0
288,kriswang8919,0.0
289,krobinson395,0.0
290,kylehutchinson89,0.0
291,kyvaz,0.0
292,lan40,0.0
293,lbolding,0.0
294,lee2998p,0.0
295,lee3753,0.0
296,lee4106,0.0
297,li3878,0.0
298,lmassey13,0.0
299,lotszfung,0.0
300,lpremanand,0.0
301,lrhockensmith,0.0
302,lucylucy666,0.0
303,luyunghsiang,0.0
304,mahamgodil,0.0
305,mahlers1,0.0
306,manasirajan,0.0
307,marcelnerd,0.0
308,markmelv,0.0
309,mbatler,0.0
310,mcurry51,0.0
311,mechtina,0.0
312,mendez71,0.0
313,mfarrar216,0.0
314,mferconio,0.0
315,milindkulkarni,0.0
316,mjyeung,0.0
317,mlpressler,0.0
318,mpoojary09,0.0
319,nanantha2002,0.0
320,nathanmehringer,0.0
321,nazarovelbek,0.0
322,nbrinkm,0.0
323,ndamato17,0.0
324,nfloress,0.0
325,nfroonin,0.0
326,nharpen,0.0
327,ni102,0.0
328,nicholas3134,0.0
329,nick-krol,75.0
330,nlashka,0.0
331,nortthub,0.0
332,nslaats,0.0
333,nsuper72,0.0
334,oabdall,0.0
335,oh237,0.0
336,paingp,0.0
337,park1205,0.0
338,parkermetzger,0.0
339,parrelljohn,0.0
340,parthivreddy,0.0
341,paulsong920,0.0
342,paulteter,0.0
343,pbaysing,0.0
344,pchintar,0.0
345,pigcounter,0.0
346,pjaggi,0.0
347,pmclin2,0.0
348,princeniu,0.0
349,priyankapereira1,0.0
350,psangam0317,0.0
351,psankar193,0.0
352,ptradiver,0.0
353,ptradiver-1,100.0
354,purdue-augustwest,100.0
355,qian147,0.0
356,raghavcast,0.0
357,reed369,0.0
358,rhense,0.0
359,richa547,0.0
360,rjoshi2002,0.0
361,rlalaegus,0.0
362,rockets02,0.0
363,rohitvallab,0.0
364,ronitnallagatla,0.0
365,roshsundar,0.0
366,rparikh10,0.0
367,rsashti,0.0
368,ryadov,0.0
369,ryanamarchand18,0.0
370,sahin01,0.0
371,salbert7030,0.0
372,sambkhan,0.0
373,samdreu,0.0
374,sardarcastic,0.0
375,sbright96,0.0
376,schul137,0.0
377,sdeckhar,0.0
378,sdgj3468,0.0
379,sdgreenl,0.0
380,sdk111213,0.0
381,shivans,0.0
382,shreya-rathi,-0.0
383,sidnash,0.0
384,sinya3558,0.0
385,sknapdragon,0.0
386,smfetter,0.0
387,smit3568,0.0
388,snwprk,0.0
389,sophialee12,0.0
390,soumitra16,0.0
391,spaul13,0.0
392,srinath99,0.0
393,stefankuhn7,0.0
394,sudar5,0.0
395,sultanrosh,0.0
396,sun976,0.0
397,swgries,0.0
398,tadoyle2024,0.0
399,taeugenio,0.0
400,tanvikalaskar,0.0
401,tbatides,0.0
402,tema014,0.0
403,terencemurphy11,0.0
404,tomatobagel123,0.0
405,tran187,0.0
406,tshreegupta,0.0
407,ttanases,0.0
408,tuntub4,0.0
409,ty-runner,100.0
410,varunGannavarapu,0.0
411,varunravi1,0.0
412,vfarrel,0.0
413,vraghup,0.0
414,vsrigiri,0.0
415,waij01,0.0
416,williamyu45,0.0
417,wongjt,0.0
418,xx005fs,0.0
419,ycvision,0.0
420,yili2001,0.0
421,yipei-wang,-0.0
422,zapurcel,0.0
423,zbarker5,0.0
